route_id,service_id,trip_headsign,direction_id,shape_id,trip_id
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23161
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23162
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23163
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23164
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23165
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23166
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23167
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23168
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23169
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23170
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23171
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23172
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23173
10-J,1,Avalahalli BDA Park Girinagara,0,10-J UP,23174
10-J,1,Kempegowda Bus Station,1,10-J DOWN,23175
10-J,1,Kempegowda Bus Station,1,10-J DOWN,23176
10-J,1,Kempegowda Bus Station,1,10-J DOWN,23177
10-J,1,Kempegowda Bus Station,1,10-J DOWN,23178
10-J,1,Kempegowda Bus Station,1,10-J DOWN,23179
10-J,1,Kempegowda Bus Station,1,10-J DOWN,23180
10-J,1,Kempegowda Bus Station,1,10-J DOWN,23181
10-J,1,Kempegowda Bus Station,1,10-J DOWN,23182
10-J,1,Kempegowda Bus Station,1,10-J DOWN,23183
10-J,1,Kempegowda Bus Station,1,10-J DOWN,23184
10-J,1,Kempegowda Bus Station,1,10-J DOWN,23185
10-J,1,Kempegowda Bus Station,1,10-J DOWN,23186
10-J CLO-NDH-KBS,1,Chandra Layout,1,10-J CLO-NDH-KBS DOWN,47665
10-J CLO-NDH-KBS,1,Chandra Layout,1,10-J CLO-NDH-KBS DOWN,47666
10-J CLO-NDH-KBS,1,Kempegowda Bus Station,0,10-J CLO-NDH-KBS UP,47663
10-J CLO-NDH-KBS,1,Kempegowda Bus Station,0,10-J CLO-NDH-KBS UP,47664
104,1,Kempegowda Bus Station,1,104 DOWN,37652
104,1,Kempegowda Bus Station,1,104 DOWN,37653
104,1,Kempegowda Bus Station,1,104 DOWN,37654
104,1,Kempegowda Bus Station,1,104 DOWN,37655
104,1,Kempegowda Bus Station,1,104 DOWN,37656
104,1,Kempegowda Bus Station,1,104 DOWN,37657
104,1,Kempegowda Bus Station,1,104 DOWN,37658
104,1,Sadashivanagara,0,104 UP,37645
104,1,Sadashivanagara,0,104 UP,37646
104,1,Sadashivanagara,0,104 UP,37647
104,1,Sadashivanagara,0,104 UP,37648
104,1,Sadashivanagara,0,104 UP,37649
104,1,Sadashivanagara,0,104 UP,37650
104,1,Sadashivanagara,0,104 UP,37651
104 SDNIBK-KBS,1,Kempegowda Bus Station,0,104 SDNIBK-KBS UP,37517
107-C D14G-SBS,1,Depot-14 Gate,1,107-C D14G-SBS DOWN,37564
107-C D14G-SBS,1,Shivajinagara Bus Station,0,107-C D14G-SBS UP,37562
